Gene	L12023_WT_d0_1_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12087_miR-124KO_d0_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12024_WT_d0_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12088_miR-124KO_d0_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12025_WT_d0_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12089_miR-124KO_d0_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12026_WT_d0_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12091_miR-124KO_d0_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12027_WT_d0_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12092_miR-124KO_d0_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12028_WT_d0_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12093_miR-124KO_d0_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12029_WT_d0_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12094_miR-124KO_d1_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12030_WT_d1_1_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12095_miR-124KO_d1_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12031_WT_d1_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12096_miR-124KO_d1_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12032_WT_d1_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12097_miR-124KO_d1_5_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12033_WT_d1_5_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12098_miR-124KO_d1_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12034_WT_d1_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12099_miR-124KO_d1_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12035_WT_d1_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12100_miR-124KO_d1_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12036_WT_d1_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12101_miR-124KO_d2_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12037_WT_d2_1_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12102_miR-124KO_d2_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12038_WT_d2_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12103_miR-124KO_d2_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12039_WT_d2_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12104_miR-124KO_d2_5_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12040_WT_d2_5_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12105_miR-124KO_d2_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12041_WT_d2_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12106_miR-124KO_d2_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12042_WT_d2_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12107_miR-124KO_d2_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12043_WT_d2_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12108_miR-124KO_d3_1_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12044_WT_d3_1_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12109_miR-124KO_d3_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12045_WT_d3_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12110_miR-124KO_d3_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12046_WT_d3_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12111_miR-124KO_d3_5_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12047_WT_d3_5_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12112_miR-124KO_d3_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12048_WT_d3_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12113_miR-124KO_d3_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12049_WT_d3_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12114_miR-124KO_d3_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12050_WT_d3_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12115_miR-124KO_d4_1_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12051_WT_d4_1_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12116_miR-124KO_d4_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12052_WT_d4_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12117_miR-124KO_d4_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12053_WT_d4_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12118_miR-124KO_d4_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12054_WT_d4_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12119_miR-124KO_d4_5_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12084_WT_d4_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12120_miR-124KO_d4_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12085_WT_d4_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12121_miR-124KO_d4_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12086_WT_d4_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count
ZEB2	28	14	10	4	17	15	13	10	12	12	5	6	16	863	1658	862	1874	1051	1832	954	1962	805	1597	816	1886	1086	1930	4014	4820	3515	4663	4011	4867	4143	4684	3933	4264	4037	4120	4416	4859	5068	7724	5562	8486	5747	5942	7230	5571	6322	5794	5571	6604	4901	6211	5689	4117	7354	4111	8001	4553	8736	3868	7619	4012	7624	5362	8151	4434
RIC1	1639	1464	1797	1380	1465	1523	1562	1295	1586	1432	1604	1494	1619	1407	1809	1620	1663	1515	1510	1868	1657	1595	1465	1705	1894	1794	1656	1485	1364	1431	1387	1412	1535	1807	1231	1488	1185	1550	1223	1825	1557	1151	789	1163	827	1154	795	1483	692	1465	802	1339	1109	1011	812	523	517	677	558	748	561	856	545	720	495	729	756	862	555
CACNA1B	566	789	755	653	663	597	680	587	788	591	788	650	752	531	676	495	756	555	820	641	807	494	813	591	871	589	776	2007	3486	1977	3086	2124	3197	2342	2909	2115	2886	2155	2639	2141	3060	3428	6566	3908	7578	3768	6152	4762	7005	4244	6304	3723	6384	2486	6708	5598	9554	6913	9430	7760	9309	8006	9113	6886	6773	7116	10102	7633	9821
MKRN3	0	0	0	2	0	1	4	0	0	0	1	0	0	4	7	1	10	3	7	8	6	3	12	1	3	11	3	21	39	9	26	23	36	24	35	35	15	11	20	17	37	104	68	115	101	119	68	141	72	119	82	84	57	81	53	287	100	390	66	347	71	492	81	366	92	411	67	400	77
MAST1	685	900	882	898	939	793	856	745	894	810	813	801	988	678	897	847	937	711	1155	1102	1080	897	867	781	987	1017	992	1795	2359	1805	2224	1833	2569	1883	2376	1841	1963	1576	2019	1981	2204	2115	5479	2479	6828	3014	4678	3153	5595	2964	4574	2505	3927	1987	4470	3986	6991	4736	7133	5918	7030	6591	7106	5212	5568	5799	6985	5815	7561
TEFM	268	203	261	237	204	210	256	198	236	191	210	231	227	183	212	266	207	242	195	346	240	238	151	210	199	292	207	200	154	170	148	157	170	207	175	168	170	180	194	244	155	167	146	173	163	193	155	187	94	214	148	173	204	182	150	119	172	166	141	182	175	237	125	150	179	174	221	155	174
SLC16A2	1605	1771	1833	1728	1724	1792	1577	1536	1829	1521	1602	1531	1443	2337	1741	2407	1888	2267	2112	3054	2059	2433	1751	2350	2076	2900	1830	2500	1985	2334	1918	2402	2073	2798	1934	2447	2021	2522	1679	2683	1987	2418	2126	2811	2258	2725	1735	3523	1560	3468	1565	2791	1925	2216	1530	2146	1137	2693	1229	3133	1161	3141	1176	2647	1108	3237	1329	2792	1219
PACS1	1271	1722	1639	1825	1459	1479	1499	1316	1562	1316	1449	1271	1517	1096	1083	1112	1180	1051	1246	1433	1297	1154	1014	953	1253	1436	1078	808	823	703	857	798	813	882	921	721	763	769	751	864	796	385	664	427	571	430	573	549	718	532	592	519	785	327	664	300	939	349	958	422	965	485	947	420	857	507	966	442	964
LAGE3	522	583	637	596	617	549	621	471	638	486	596	551	601	410	381	451	512	478	549	531	517	462	421	453	545	528	393	467	265	339	314	373	345	476	310	329	382	390	330	368	308	179	93	242	126	227	96	284	142	289	175	178	132	289	140	114	100	135	114	196	93	176	105	152	84	249	102	209	123
MED17	933	733	957	741	883	843	855	641	838	672	797	922	857	1002	1136	1143	1145	1173	1113	1304	1198	1048	1040	1057	1131	1387	1172	1397	1677	1334	1510	1340	1676	1446	1642	1259	1635	1369	1391	1508	1450	1713	2119	1829	1975	1794	1812	2476	1719	2110	1786	1815	2240	1935	1908	1781	1527	2385	1533	2639	1536	2920	1406	2569	1622	2434	1868	2927	1694
HNRNPC	22142	17125	21732	17362	19326	18674	19456	15862	19417	16396	18961	18940	19011	18749	17558	19512	18700	18990	17308	23743	19834	20843	17613	20130	19131	23111	17939	15188	13690	14103	13853	14151	14698	15297	14482	15167	12873	13736	12779	17401	13638	12652	8928	14822	9631	13881	8317	17586	7893	17395	8899	14391	11167	16440	9177	9926	6606	13010	6604	14770	7599	15233	6385	13914	7858	15475	8571	16210	7084
SNAPC4	985	1095	1522	1134	1329	1053	1086	848	1293	936	1251	990	1301	787	724	781	809	808	981	953	826	832	678	807	881	976	695	855	1131	784	1002	824	1113	852	1020	766	881	887	866	926	911	1307	2283	1418	2783	1460	1750	1936	2081	1680	1890	1489	2086	1082	1797	2004	1546	2264	1658	2874	1846	3185	1748	2596	1343	2935	1628	3044	1551
FZD2	133	327	264	354	236	368	214	218	245	315	204	290	239	203	212	167	268	179	308	233	293	198	254	185	252	210	219	190	191	232	141	261	212	258	188	207	191	252	167	255	162	113	58	133	44	118	51	157	52	150	44	164	102	163	55	55	23	42	22	34	49	55	25	34	29	43	31	54	18
AUH	1144	914	970	882	991	795	917	838	971	781	896	906	932	731	827	726	840	688	814	908	848	795	929	700	847	867	845	718	748	670	601	856	715	793	777	843	673	768	695	908	611	615	748	680	695	806	533	893	552	846	549	636	670	695	605	810	638	964	630	1076	620	1025	593	960	561	994	654	1147	679
DHDDS	1222	1183	1704	1270	1406	1145	1176	983	1446	961	1260	1079	1284	1161	1195	1291	1310	1263	1221	1344	1285	1102	1134	1215	1378	1470	1092	1220	1248	1171	1271	1250	1312	1230	1476	1152	1245	1232	1198	1282	1239	1348	1295	1478	1154	1515	1321	2012	1395	1796	1550	1487	1761	1416	1528	1467	1434	1698	1536	2219	1569	2049	1380	1634	1411	1985	1676	1947	1578
CCND2	6739	7433	6968	7124	5897	7419	6096	6977	6073	7465	6246	7452	5822	5805	7824	6381	6739	6628	6713	7563	6880	5954	6314	6265	6847	7478	6577	6461	5996	6142	5730	6798	6360	7162	6101	6343	5535	6020	4960	7706	5989	5576	4559	5590	5343	6461	3726	6936	3411	6409	3594	5208	4188	5236	3613	8181	3001	10695	3136	12928	3312	12448	3016	11275	3362	12812	3911	14139	3286
