Gene,Coassociation Frequency
MECP2,1.0
ERMARD,0.6038333333333333
UBR7,0.6038333333333333
FARS2,0.6003333333333334
STIL,0.5661666666666667
LBR,0.5096666666666667
LMBR1,0.41533333333333333
SNORD116-1,0.3431666666666667
ERCC5,0.30833333333333335
STX1A,0.30583333333333335
CUX1,0.30416666666666664
RFX7,0.30216666666666664
TKT,0.29733333333333334
CEP135,0.2835
KCNA1,0.2738333333333333
MSX2,0.27
SMC5,0.2693333333333333
MN1,0.269
TRH,0.2665
MT-TS1,0.26616666666666666
STRADA,0.25883333333333336
PUS1,0.258
NKX6-2,0.25766666666666665
PRKDC,0.25533333333333336
PTH1R,0.25366666666666665
SMARCE1,0.25033333333333335
KCNH1,0.24816666666666667
AHSG,0.24516666666666667
MARS2,0.24316666666666667
CHRNA7,0.24133333333333334
AIMP2,0.23533333333333334
DLD,0.23466666666666666
COL6A2,0.23216666666666666
TYMP,0.22833333333333333
XPA,0.228
PIGQ,0.21983333333333333
TMEM43,0.21233333333333335
SEMA3C,0.2115
SLC12A2,0.208
TCTN3,0.202
TSEN15,0.20116666666666666
GAMT,0.1985
FBXO11,0.1965
THG1L,0.192
TUBGCP6,0.19166666666666668
TDP2,0.1915
ZIC2,0.19066666666666668
CBY1,0.19066666666666668
SIX3,0.19066666666666668
HEPACAM,0.1905
INTS8,0.18883333333333333
CKAP2L,0.18866666666666668
SEC24C,0.18716666666666668
AP5Z1,0.18716666666666668
SAMD9L,0.18666666666666668
TSHB,0.1845
ATP1A3,0.18433333333333332
HS2ST1,0.18366666666666667
RLIM,0.179
BUB3,0.17816666666666667
GLS,0.178
CPSF3,0.178
POMT1,0.178
ERCC2,0.1775
MINPP1,0.177
POC1A,0.177
PMM2,0.17666666666666667
SLC5A7,0.1765
FRMPD4,0.17633333333333334
MCM7,0.17633333333333334
ALAD,0.176
CISD2,0.1755
PPT1,0.175
ACD,0.175
KCNJ2,0.175
SLC1A2,0.17416666666666666
ADARB1,0.1735
OGDHL,0.1735
BSCL2,0.17333333333333334
ZNF699,0.17283333333333334
PGM2L1,0.172
CNTNAP1,0.17166666666666666
MYO5A,0.17166666666666666
SPTAN1,0.17116666666666666
ST3GAL3,0.17016666666666666
WIPI2,0.1695
TMEM106B,0.16916666666666666
NMNAT1,0.1685
CDC45,0.16833333333333333
FUT8,0.16783333333333333
NDUFC2,0.16766666666666666
PAK1,0.1675
P4HTM,0.16616666666666666
LGI3,0.16566666666666666
DARS2,0.1655
RARB,0.164
PEX7,0.1635
NPRL3,0.1635
PRPF4,0.16316666666666665
MRPS2,0.163
DNA2,0.163
CLCN4,0.163
TMEM138,0.16183333333333333
MAP2K1,0.16133333333333333
H19,0.16116666666666668
RNF135,0.161
MYSM1,0.1605
CCDC28B,0.1605
RFT1,0.16016666666666668
ATP9A,0.15833333333333333
PLEKHG2,0.15833333333333333
ORC6,0.15833333333333333
GRIA3,0.15833333333333333
FTCD,0.158
UGT1A1,0.158
