Gene,Coassociation Frequency,New
MECP2,1,0
MRPS21P3,0.984,1
ADCYAP1,0.975666666667,1
RP11-73M18.6,0.975666666667,1
RP11-456H18.2,0.974833333333,1
SWAP70,0.9735,1
RP11-761I4.4,0.972833333333,1
RN7SL265P,0.972166666667,1
C16orf96,0.9715,1
ENPP7P3,0.971166666667,1
RP11-380I20.2,0.971,1
GOLGA6L9,0.970333333333,1
RP3-510D11.2,0.970333333333,1
STRC,0.970166666667,1
RP11-647O20.1,0.97,1
DIS3,0.97,1
NR1I3,0.969833333333,1
RP11-764D10.2,0.969166666667,1
HMGN2P3,0.969166666667,1
NAP1L4,0.969166666667,1
METTL8P1,0.969166666667,1
LACE1,0.969166666667,1
OSCP1,0.969166666667,1
RFT1,0.969,0
AC091878.1,0.968833333333,1
SHF,0.968833333333,1
RP11-388C12.8,0.968833333333,1
OR7E7P,0.968666666667,1
BX255923.3,0.968666666667,1
DSC1,0.9685,1
PTPRF,0.9685,1
AMZ2P2,0.9685,1
RNU6-308P,0.9685,1
APLF,0.968166666667,1
MTUS2-AS2,0.968166666667,1
POLB,0.968,1
ATP6V1G1P2,0.968,1
RBM44,0.968,1
PGAM1P4,0.968,1
RP11-495K9.7,0.967833333333,1
KNOP1P1,0.967666666667,1
ATP8A2,0.967666666667,0
FUT8-AS1,0.967666666667,1
EXOC4,0.9675,1
RP11-96C23.14,0.9675,1
TAF9B,0.9675,1
L3HYPDH,0.9675,1
C9orf43,0.9675,1
RARRES2P2,0.9675,1
RPS27P27,0.9675,1
KRTAP5-9,0.967333333333,1
RN7SKP171,0.967333333333,1
KLC1,0.967333333333,1
PARP1P1,0.967333333333,1
CTD-2517M22.9,0.967166666667,1
SUDS3P1,0.967166666667,1
LIFR-AS1,0.967166666667,1
RP11-1167A19.6,0.967,1
MTND4LP14,0.967,1
TECPR1,0.967,1
CENPJ,0.967,0
RP11-142L4.2,0.966833333333,1
RP11-325P15.1,0.966833333333,1
RP11-234B24.4,0.966833333333,1
KLF2P3,0.966666666667,1
UBE3C,0.966666666667,0
GALNT8,0.966666666667,1
CDK2,0.966666666667,1
RP11-356I2.4,0.966666666667,1
RPS2P41,0.9665,1
RIN1,0.9665,1
JMJD4,0.9665,1
NUDT19P3,0.9665,1
MAGI2-AS3,0.9665,1
SOGA1,0.9665,1
SPATS2L,0.966333333333,1
RRM1,0.966333333333,0
FAM199X,0.966333333333,1
RP11-1006G14.5,0.966166666667,1
RBBP8P1,0.966166666667,1
SEPT14P9,0.966166666667,1
TBCAP3,0.966166666667,1
ZCWPW2,0.966166666667,1
PLEKHG2,0.966,0
SUMO2P2,0.966,1
GTF2IP4,0.966,1
SF3A2,0.966,1
MIR4285,0.966,1
TBC1D5,0.966,1
C19orf44,0.966,1
B3GALNT1P1,0.965833333333,1
TXNL4B,0.965833333333,1
RP11-313F23.4,0.965833333333,1
RP11-32B5.8,0.965833333333,1
MIR328,0.965833333333,1
RP11-73O6.3,0.965833333333,1
RNU4-82P,0.965833333333,1
FAM95B1,0.965666666667,1
LINC01021,0.965666666667,1
RP11-74D7.1,0.965666666667,1
NBPF22P,0.965666666667,1
ICE2,0.9655,1
RP11-368I23.4,0.9655,1
RP3-402G11.27,0.9655,1
CTD-2313D3.1,0.9655,1
RBMXP4,0.965333333333,1
RP11-398E10.1,0.965333333333,1
ACTN4P2,0.965333333333,1
RP11-567O16.1,0.965333333333,1
AC002984.2,0.965166666667,1
HNRNPA1P6,0.965166666667,1
AD001527.7,0.965166666667,1
EIF4E3,0.965,1
FBXO11,0.965,0
ZFX-AS1,0.965,1
NUTM2B-AS1,0.965,1
PGM5-AS1,0.965,1
KMO,0.965,1
RN7SL688P,0.965,1
RP11-218F10.3,0.965,1
AC104306.1,0.965,1
ANKUB1,0.964833333333,1
RP11-307C12.11,0.964833333333,1
RP3-406P24.4,0.964833333333,1
ANKRD31,0.964833333333,1
LINC00642,0.964833333333,1
CTD-2213F21.2,0.964833333333,1
MLC1,0.964833333333,0
GS1-345D13.1,0.964833333333,1
RP11-378E13.3,0.964833333333,1
RP11-894P9.1,0.964833333333,1
MAML1,0.964833333333,1
RP11-758M2.1,0.964833333333,1
LAMP2,0.964833333333,0
LINC01136,0.964833333333,1
SYT14,0.964833333333,0
RP11-822E23.2,0.964666666667,1
ALG1L11P,0.964666666667,1
EXOSC2,0.964666666667,0
