Gene,Coassociation Frequency
ZEB2,1
FBXW11,0.7166666666666667
FBXL3,0.579
LCA5,0.5176666666666667
CCND2,0.5171666666666667
DHDDS,0.486
RPL27,0.473
RD3,0.4643333333333333
GDF5,0.45966666666666667
LIG3,0.45816666666666667
RIC1,0.4513333333333333
SECISBP2,0.45016666666666666
FGF14,0.4475
RPS23,0.439
MTHFD1,0.43216666666666664
COLEC11,0.4255
NDUFAF4,0.423
RPS19,0.4211666666666667
EIF2AK2,0.421
CRIPT,0.418
POLRMT,0.41633333333333333
MRPS28,0.4055
BICD2,0.4026666666666667
FBXL4,0.4015
NEMF,0.3975
SEMA5A,0.397
HNRNPH1,0.3955
TMEM240,0.39416666666666667
AQP2,0.3875
EXT1,0.3875
SDCCAG8,0.38383333333333336
COLQ,0.38116666666666665
RPL11,0.381
GLB1,0.38066666666666665
VPS51,0.37916666666666665
TXNRD2,0.379
GJA1,0.37516666666666665
ADAR,0.37466666666666665
MYRF,0.37433333333333335
HERC1,0.3685
CDH23,0.36333333333333334
KIF21A,0.363
RPS29,0.3586666666666667
TRAPPC12,0.3581666666666667
SLC13A5,0.356
AP1S1,0.3536666666666667
EMC10,0.3535
SHMT2,0.353
SAMHD1,0.3526666666666667
C12orf57,0.35183333333333333
CTBP1,0.351
NECAP1,0.35083333333333333
MEGF10,0.34933333333333333
TUB,0.3485
MTFMT,0.3481666666666667
FAR1,0.3475
UCHL1,0.3455
RPL26,0.3453333333333333
AUTS2,0.3446666666666667
CHD1,0.3436666666666667
HSD17B4,0.3435
TEFM,0.3428333333333333
OSGEP,0.3425
ABCC9,0.341
ADAM22,0.3408333333333333
TOR1A,0.3393333333333333
TBC1D24,0.33866666666666667
HINT1,0.3385
AUH,0.3383333333333333
RREB1,0.338
TRAPPC2L,0.337
NLGN3,0.3365
KIF7,0.3363333333333333
MPC1,0.335
TAF8,0.33416666666666667
ADNP,0.33216666666666667
TPR,0.33216666666666667
DALRD3,0.33216666666666667
AP4M1,0.33166666666666667
CTNNA2,0.33166666666666667
NANS,0.32966666666666666
FGFR1,0.32916666666666666
SIN3B,0.329
PHIP,0.32866666666666666
ELAC2,0.32866666666666666
BCR,0.328
ROM1,0.32766666666666666
DPH1,0.3275
L2HGDH,0.3268333333333333
GAS1,0.32666666666666666
PHACTR1,0.32616666666666666
CTU2,0.326
IPO8,0.3258333333333333
PRPF6,0.3248333333333333
TBL1XR1,0.32283333333333336
RPL35A,0.32216666666666666
STT3A,0.32033333333333336
NT5C2,0.32016666666666665
RRAS,0.31833333333333336
RPL31,0.31816666666666665
MKRN3,0.318
GALNT2,0.3175
RPL8,0.315
CEP63,0.315
NDUFA1,0.31283333333333335
PDGFRB,0.31066666666666665
MTHFR,0.31033333333333335
TRMT1,0.31016666666666665
TNNT1,0.30933333333333335
FOXL2,0.30916666666666665
NOTCH1,0.308
HYLS1,0.30616666666666664
DNAJC12,0.306
ASAH1,0.30533333333333335
NTNG2,0.30483333333333335
