Gene,Coassociation Frequency,New
ZEB2,1,0
RP11-374A4.1,0.99126287126,1
RP11-268G12.3,0.991064505076,1
BTBD10P2,0.989441509026,1
CAMSAP1,0.988981660145,1
SDHDP2,0.988702144158,1
CBX5,0.98618650028,1
TMEM161B,0.98468072061,1
RPS15AP38,0.982670008836,1
RP11-5G9.5,0.980172398247,1
RPL5P4,0.979144500748,1
LARP4,0.979126467459,1
RP11-513M16.7,0.978621535354,1
HSPE1P6,0.978414152526,1
CDK15,0.977440354895,1
RP11-552F3.9,0.977323138514,1
RP11-499F3.1,0.976809189764,1
MBD6,0.975267343516,1
AC005488.11,0.974509945359,1
SLC24A1,0.974158296215,1
SMC4,0.972760716282,1
RP11-76N22.1,0.972273817467,1
SLC16A2,0.972129551151,0
ME3,0.971940201612,1
RP11-467I20.3,0.971940201612,1
DND1P1,0.971904135033,1
AGGF1P3,0.971056570429,1
GLRX2,0.970966403982,1
CTB-131B5.5,0.970533605035,1
CPEB1-AS1,0.970145889312,1
DGCR9,0.970136872667,1
ST13P5,0.969893423259,1
TIMM21,0.969812273457,1
SPTLC1P2,0.969812273457,1
RPL9P7,0.969713090365,1
RP1-309F20.3,0.969271274773,1
LRRC14B,0.969000775431,1
CPAMD8,0.968802409247,1
NDUFA13,0.968739292734,1
BDP1,0.968531909906,1
MTCO2P22,0.967963861288,1
MTCO3P12,0.967882711485,1
LAMTOR2,0.967675328657,1
INMT,0.967630245433,1
C10orf25,0.967621228788,1
CTA-992D9.8,0.967594178854,1
LINC01363,0.967594178854,1
RP11-31L22.3,0.96724252971,1
CCDC36,0.966566281355,1
CTD-2024P10.2,0.966530214776,1
RGS22,0.96625069879,1
SPG7,0.966133482409,1
XKR8,0.966133482409,1
CTD-2145A24.4,0.966106432474,1
RP11-286N22.8,0.965844949777,1
SREK1,0.965619533659,1
RP11-1148L6.5,0.965331001028,1
AP1AR,0.965240834581,1
IFI27L1,0.965240834581,1
RPL23AP64,0.965159684778,1
RP11-384F7.2,0.964555569581,1
DHDDS,0.964519503003,0
CKAP5,0.96426703695,1
RP11-53B2.1,0.964212937082,1
ME2P1,0.964041620832,1
RPL4P3,0.96396047103,1
RPL9P9,0.963924404451,1
ATP5C1,0.96378915478,1
RP11-793H13.3,0.963762104846,1
CENPA,0.963689971688,1
DMRTA1,0.963572755306,1
GORASP1,0.963194056228,1
ECE2,0.963167006294,1
MKRN3,0.963103889781,0
AC010240.3,0.963067823202,1
TMEM192,0.962887490307,1
RP11-335O13.8,0.962851423728,1
RP11-252A24.3,0.962842407083,1
RP13-977J11.8,0.962680107478,1
EDEM2,0.962616990965,1
DCAKD,0.962589941031,1
RGS17,0.962535841163,1
CDC40,0.962526824518,0
HSPE1,0.962499774584,1
RP11-805I24.1,0.962436658071,1
HADHA,0.962418624781,0
CYP8B1,0.962310425045,1
RP11-832N8.1,0.96214812544,1
POLR2K,0.961868609453,1
RAB29,0.961796476295,1
