Gene,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
ZEB2,9,14,19,24,19,24,29,34,39,34,39,44
GENE_001,12,19,26,33,30,37,44,51,58,55,62,69
GENE_002,15,24,33,42,41,50,59,68,77,76,85,94
GENE_003,18,29,40,51,52,63,74,85,96,97,11,22
GENE_004,21,34,47,60,63,76,89,5,18,21,34,47
GENE_005,24,39,54,69,74,89,7,22,37,42,57,72
GENE_006,27,44,61,78,85,5,22,39,56,63,80,97
GENE_007,23,35,47,59,61,73,85,97,12,14,26,38
GENE_008,26,40,54,68,72,86,3,17,31,35,49,63
GENE_009,29,45,61,77,83,2,18,34,50,56,72,88
GENE_010,32,50,68,86,94,15,33,51,69,77,95,16
GENE_011,35,55,75,95,8,28,48,68,88,1,21,41
GENE_012,38,60,82,7,19,41,63,85,10,22,44,66
GENE_013,41,65,89,16,30,54,78,5,29,43,67,91
GENE_014,37,56,75,94,6,25,44,63,82,91,13,32
GENE_015,40,61,82,6,17,38,59,80,4,15,36,57
GENE_016,43,66,89,15,28,51,74,97,23,36,59,82
GENE_017,46,71,96,24,39,64,89,17,42,57,82,10
GENE_018,49,76,6,33,50,77,7,34,61,78,8,35
GENE_019,52,81,13,42,61,90,22,51,80,2,31,60
GENE_020,55,86,20,51,72,6,37,68,2,23,54,85
GENE_021,51,77,6,32,48,74,3,29,55,71,97,26
GENE_022,54,82,13,41,59,87,18,46,74,92,23,51
GENE_023,57,87,20,50,70,3,33,63,93,16,46,76
GENE_024,60,92,27,59,81,16,48,80,15,37,69,4
GENE_025,63,97,34,68,92,29,63,97,34,58,92,29
GENE_026,66,5,41,77,6,42,78,17,53,79,18,54
GENE_027,69,10,48,86,17,55,93,34,72,3,41,79
GENE_028,65,1,34,67,90,26,59,92,28,51,84,20
GENE_029,68,6,41,76,4,39,74,12,47,72,10,45
GENE_030,71,11,48,85,15,52,89,29,66,93,33,70
GENE_031,74,16,55,94,26,65,7,46,85,17,56,95
GENE_032,77,21,62,6,37,78,22,63,7,38,79,23
GENE_033,80,26,69,15,48,91,37,80,26,59,5,48
GENE_034,83,31,76,24,59,7,52,97,45,80,28,73
GENE_035,79,22,62,5,35,75,18,58,1,31,71,14
GENE_036,82,27,69,14,46,88,33,75,20,52,94,39
GENE_037,85,32,76,23,57,4,48,92,39,73,20,64
GENE_038,88,37,83,32,68,17,63,12,58,94,43,89
GENE_039,91,42,90,41,79,30,78,29,77,18,66,17
GENE_040,94,47,97,50,90,43,93,46,96,39,89,42
GENE_041,97,52,7,59,4,56,11,63,18,60,15,67
GENE_042,93,43,90,40,77,27,74,24,71,11,58,8
GENE_043,96,48,97,49,88,40,89,41,90,32,81,33
GENE_044,2,53,7,58,2,53,7,58,12,53,7,58
GENE_045,5,58,14,67,13,66,22,75,31,74,30,83
GENE_046,8,63,21,76,24,79,37,92,50,95,53,11
GENE_047,11,68,28,85,35,92,52,12,69,19,76,36
GENE_048,14,73,35,94,46,8,67,29,88,40,2,61
GENE_049,10,64,21,75,22,76,33,87,44,88,45,2
GENE_050,13,69,28,84,33,89,48,7,63,12,68,27
GENE_051,16,74,35,93,44,5,63,24,82,33,91,52
GENE_052,19,79,42,5,55,18,78,41,4,54,17,77
GENE_053,22,84,49,14,66,31,93,58,23,75,40,5
GENE_054,25,89,56,23,77,44,11,75,42,96,63,30
GENE_055,28,94,63,32,88,57,26,92,61,20,86,55
GENE_056,24,85,49,13,64,28,89,53,17,68,32,93
GENE_057,27,90,56,22,75,41,7,70,36,89,55,21
GENE_058,30,95,63,31,86,54,22,87,55,13,78,46
GENE_059,33,3,70,40,97,67,37,7,74,34,4,71
GENE_060,36,8,77,49,11,80,52,24,93,55,27,96
GENE_061,39,13,84,58,22,93,67,41,15,76,50,24
GENE_062,42,18,91,67,33,9,82,58,34,97,73,49
GENE_063,38,9,77,48,9,77,48,19,87,48,19,87
GENE_064,41,14,84,57,20,90,63,36,9,69,42,15
GENE_065,44,19,91,66,31,6,78,53,28,90,65,40
GENE_066,47,24,1,75,42,19,93,70,47,14,88,65
GENE_067,50,29,8,84,53,32,11,87,66,35,14,90
GENE_068,53,34,15,93,64,45,26,7,85,56,37,18
GENE_069,56,39,22,5,75,58,41,24,7,77,60,43
GENE_070,52,30,8,83,51,29,7,82,60,28,6,81
GENE_071,55,35,15,92,62,42,22,2,79,49,29,9
GENE_072,58,40,22,4,73,55,37,19,1,70,52,34
GENE_073,61,45,29,13,84,68,52,36,20,91,75,59
GENE_074,64,50,36,22,95,81,67,53,39,15,1,84
GENE_075,67,55,43,31,9,94,82,70,58,36,24,12
GENE_076,70,60,50,40,20,10,97,87,77,57,47,37
GENE_077,66,51,36,21,93,78,63,48,33,8,90,75
GENE_078,69,56,43,30,7,91,78,65,52,29,16,3
GENE_079,72,61,50,39,18,7,93,82,71,50,39,28
GENE_080,75,66,57,48,29,20,11,2,90,71,62,53
GENE_081,78,71,64,57,40,33,26,19,12,92,85,78
GENE_082,81,76,71,66,51,46,41,36,31,16,11,6
GENE_083,84,81,78,75,62,59,56,53,50,37,34,31
GENE_084,80,72,64,56,38,30,22,14,6,85,77,69
GENE_085,83,77,71,65,49,43,37,31,25,9,3,94
GENE_086,86,82,78,74,60,56,52,48,44,30,26,22
GENE_087,89,87,85,83,71,69,67,65,63,51,49,47
GENE_088,92,92,92,92,82,82,82,82,82,72,72,72
GENE_089,95,97,2,4,93,95,97,2,4,93,95,97
GENE_090,1,5,9,13,7,11,15,19,23,17,21,25
GENE_091,94,93,92,91,80,79,78,77,76,65,64,63
GENE_092,97,1,2,3,91,92,93,94,95,86,87,88
