Gene,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
ZEB2,1.2,2.4,3.6,4.8,5.0,6.2,7.4,8.6,9.8,10.0,11.2,12.4,13.6,14.8,15.0,16.2,17.4,18.6,19.8,20.0,21.2,22.4,23.6,24.8
REAL_01,2.05,2.66,3.75,4.84,5.02,5.71,6.8,7.89,8.98,10.07,10.76,10.94,12.03,13.12,14.21,14.9,15.99,17.08,17.26,18.35,19.04,20.13,21.22,22.31
REAL_02,2.81,2.72,3.96,5.2,5.53,6.42,7.66,8.9,9.23,10.47,11.36,11.69,12.93,14.17,15.41,15.39,16.63,17.87,18.2,19.44,20.33,21.57,21.9,23.14
REAL_03,2.84,3.87,4.53,6.1,6.76,7.88,9.45,10.11,11.68,12.34,13.46,14.12,15.69,17.26,17.92,19.04,19.7,21.27,21.93,23.5,24.62,25.28,26.85,27.51
REAL_04,3.28,3.29,4.69,5.18,5.67,6.67,7.16,8.56,9.05,10.45,10.54,11.03,12.43,12.92,14.32,14.41,15.81,16.3,16.79,18.19,18.28,19.68,20.17,21.57
REAL_05,3.13,4.26,4.9,5.54,6.18,7.38,8.02,8.66,10.21,10.85,11.14,11.78,13.33,13.97,14.61,15.81,16.45,17.09,17.73,19.28,19.57,20.21,21.76,22.4
REAL_06,4.07,4.5,5.47,6.44,7.41,8.84,9.81,10.78,11.75,12.72,13.24,14.21,16.09,17.06,18.03,18.55,19.52,20.49,21.46,23.34,23.86,24.83,25.8,26.77
REAL_07,3.92,4.56,5.68,6.8,7.92,8.64,9.76,10.88,12.0,13.12,13.84,14.96,16.08,17.2,18.32,19.04,20.16,21.28,22.4,23.52,24.24,25.36,26.48,27.6
REAL_08,4.36,4.89,5.84,6.79,6.83,7.43,8.38,9.33,10.28,11.23,11.83,11.87,12.82,13.77,14.72,15.32,16.27,17.22,17.26,18.21,18.81,19.76,20.71,21.66
REAL_09,5.3,5.13,6.41,7.69,8.06,8.89,10.17,11.45,11.82,13.1,13.93,14.3,15.58,16.86,18.14,18.06,19.34,20.62,20.99,22.27,23.1,24.38,24.75,26.03
REAL_10,5.15,6.1,6.62,8.05,8.57,9.6,11.03,11.55,12.98,13.5,14.53,15.05,16.48,17.91,18.43,19.46,19.98,21.41,21.93,23.36,24.39,24.91,26.34,26.86
